,source,target
0,0,2
1,0,5
2,0,11
3,0,8
4,1,6
5,1,7
6,1,9
7,1,2
8,1,8
9,1,11
10,1,17
11,1,23
12,2,5
13,2,6
14,2,11
15,2,8
16,3,7
17,3,9
18,3,17
19,3,22
20,3,12
21,3,13
22,4,13
23,4,15
24,4,24
25,5,10
26,5,11
27,5,14
28,5,20
29,5,8
30,5,23
31,6,9
32,6,11
33,6,8
34,6,17
35,7,9
36,7,17
37,7,22
38,7,8
39,7,11
40,8,10
41,8,11
42,8,14
43,8,23
44,9,14
45,9,22
46,9,11
47,9,17
48,10,16
49,10,20
50,11,21
51,12,17
52,12,22
53,12,25
54,13,17
55,13,22
56,13,24
57,15,24
58,16,21
59,17,22
60,18,19
61,18,21
62,19,21
