,source,target,weight
0,0,2,1.0
1,0,11,1.0
2,0,5,1.0
3,0,9,1.0
4,0,12,1.0
5,0,20,1.0
6,1,6,1.0
7,1,7,1.0
8,1,9,1.0
9,1,2,1.0
10,1,5,1.0
11,1,10,1.0
12,1,19,1.0
13,1,20,1.0
14,1,25,1.0
15,2,5,1.0
16,2,6,1.0
17,2,7,1.0
18,2,9,1.0
19,2,11,1.0
20,2,14,1.0
21,2,12,1.0
22,2,20,1.0
23,2,25,1.0
24,3,17,1.0
25,3,22,1.0
26,3,7,1.0
27,3,9,1.0
28,3,12,1.0
29,3,13,1.0
30,3,25,1.0
31,4,13,1.0
32,4,15,1.0
33,5,6,1.0
34,5,7,1.0
35,5,9,1.0
36,5,10,1.0
37,5,11,1.0
38,5,14,1.0
39,5,20,1.0
40,5,21,1.0
41,5,23,1.0
42,5,25,1.0
43,6,9,1.0
44,6,11,1.0
45,6,12,1.0
46,6,25,1.0
47,7,9,1.0
48,7,14,1.0
49,7,17,1.0
50,7,22,1.0
51,7,25,1.0
52,7,10,1.0
53,7,11,1.0
54,7,23,1.0
55,8,19,1.0
56,8,23,1.0
57,9,17,1.0
58,9,22,1.0
59,9,10,1.0
60,9,11,1.0
61,9,12,1.0
62,9,20,1.0
63,9,25,1.0
64,10,11,1.0
65,10,20,1.0
66,10,23,1.0
67,11,14,1.0
68,11,20,1.0
69,11,25,1.0
70,12,25,1.0
71,12,24,1.0
72,13,15,1.0
73,13,17,1.0
74,13,22,1.0
75,13,24,1.0
76,14,14,1.0
77,14,20,1.0
78,15,24,1.0
79,16,21,1.0
80,17,22,1.0
81,17,25,1.0
82,18,21,1.0
83,18,19,1.0
84,21,23,1.0
85,24,25,1.0
